Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
66.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.65469 -11.83320 13.31890 5.40989 -3.01787 23.31510 -4.34329 -8.89989 49.46160 2.31388 -16.86710 6.81316 -1.06615 12.75550 -12.00050 -8.34783 4.58658 0.56582
67.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.68470 -10.78740 15.48700 5.40760 -3.25876 22.55730 -4.12669 -9.31015 52.65730 2.35558 -16.85660 6.40116 -0.79477 11.63690 -11.63850 -8.45451 4.82273 1.06329
68.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.63047 -9.81992 17.60230 5.42852 -3.42345 21.80620 -3.81174 -10.04320 55.37100 2.40502 -16.63210 6.04321 -0.44046 10.84610 -10.64220 -8.51757 4.86225 1.54761
69.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.52137 -8.92108 19.55860 5.47829 -3.63390 21.00290 -3.36760 -11.07790 57.53590 2.41627 -16.21170 5.72114 -0.25504 10.44290 -9.26904 -8.53582 4.84344 2.00782
70.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.35770 -8.09158 21.27770 5.53736 -3.98509 20.09790 -2.81247 -12.26040 59.13870 2.36236 -15.66240 5.39233 -0.15503 10.33490 -7.76488 -8.51835 4.91699 2.43557
71.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -5.12671 -7.34384 22.74040 5.57451 -4.49820 19.07850 -2.18682 -13.41310 60.22110 2.24567 -15.05960 5.02268 -0.03395 10.35660 -6.20148 -8.47198 5.16549 2.82726
72.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -4.82983 -6.67825 23.98240 5.57098 -5.11751 17.96940 -1.51298 -14.40960 60.84020 2.08853 -14.43340 4.60491 0.10578 10.35890 -4.57096 -8.39543 5.54690 3.17826
73.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -4.48855 -6.06704 25.06790 5.52799 -5.75726 16.82450 -0.78308 -15.21840 61.03640 1.91814 -13.76660 4.15771 0.22204 10.24640 -2.91752 -8.28758 5.94805 3.48577
74.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -4.12817 -5.47757 26.06650 5.45209 -6.34733 15.71070 0.01375 -15.90890 60.82900 1.75649 -13.04780 3.71441 0.32374 9.98760 -1.34569 -8.15860 6.28462 3.75849
75.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -3.76794 -4.89985 27.03330 5.33807 -6.83045 14.67720 0.86549 -16.57440 60.23060 1.61981 -12.32160 3.30205 0.46991 9.57809 0.07067 -8.02039 6.54038 4.01851
76.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -3.41437 -4.33624 28.00080 5.17423 -7.17350 13.74190 1.74889 -17.26500 59.25250 1.51542 -11.66560 2.92717 0.71923 9.00249 1.33617 -7.87943 6.73957 4.29279
77.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -3.06436 -3.78944 28.97860 4.95666 -7.39870 12.90510 2.63846 -17.99800 57.90040 1.44069 -11.11690 2.58576 1.09372 8.26450 2.47614 -7.73269 6.90862 4.59222
78.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -2.71993 -3.25445 29.95620 4.69547 -7.52956 12.16350 3.51150 -18.78740 56.17550 1.39310 -10.67270 2.27287 1.49592 7.43238 3.47294 -7.56852 7.05329 4.90193
79.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -2.39228 -2.72300 30.91220 4.42006 -7.59121 11.51320 4.34410 -19.62760 54.08640 1.36820 -10.29820 1.99094 1.80268 6.60477 4.27836 -7.37621 7.16294 5.20980
80.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -2.09846 -2.19231 31.81650 4.16826 -7.61690 10.94200 5.10409 -20.48520 51.65630 1.36200 -9.95608 1.74785 1.98327 5.86059 4.86406 -7.15817 7.23310 5.51321
81.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.85415 -1.66960 32.63490 3.97447 -7.63773 10.42060 5.75126 -21.33630 48.91630 1.36989 -9.63147 1.54828 2.08843 5.25833 5.23011 -6.92988 7.28367 5.81393
82.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.67008 -1.18092 33.34640 3.86147 -7.67515 9.91245 6.23936 -22.19520 45.90370 1.38252 -9.31696 1.38840 2.17489 4.85105 5.39337 -6.70236 7.32792 6.11471
83.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.54474 -0.76491 33.93820 3.83464 -7.75350 9.38541 6.52314 -23.07350 42.66460 1.39034 -9.00222 1.25766 2.25313 4.64986 5.37768 -6.47772 7.37281 6.41402
84.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.45728 -0.45595 34.39940 3.87960 -7.90164 8.81781 6.57668 -23.93000 39.24830 1.39219 -8.66999 1.14419 2.31481 4.59372 5.21166 -6.25926 7.42239 6.70635
85.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.37694 -0.28902 34.73140 3.96426 -8.10077 8.20715 6.39196 -24.70380 35.69450 1.39337 -8.33432 1.03903 2.35737 4.62106 4.92507 -6.04188 7.47551 6.98569
86.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.27898 -0.29132 34.94530 4.05448 -8.31992 7.56216 5.97067 -25.35520 32.03010 1.39787 -8.02602 0.93892 2.37781 4.72534 4.52818 -5.80675 7.53642 7.25051
87.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.15069 -0.44765 35.05470 4.12991 -8.53638 6.89926 5.34119 -25.89330 28.27330 1.40687 -7.76176 0.84690 2.36949 4.92121 4.00954 -5.53807 7.60367 7.50278
88.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.99242 -0.71194 35.07930 4.18820 -8.74346 6.24125 4.55936 -26.35120 24.44710 1.41873 -7.53277 0.77271 2.34467 5.19138 3.36393 -5.23581 7.67360 7.74084
89.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.81482 -1.03748 35.03900 4.23572 -8.94199 5.61161 3.69443 -26.72840 20.58820 1.42817 -7.33401 0.73206 2.31144 5.47850 2.60426 -4.89821 7.76490 7.96402
90.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.63386 -1.38252 34.94470 4.27303 -9.11520 5.02535 2.81743 -26.99700 16.74860 1.43524 -7.17648 0.73727 2.26200 5.72343 1.76991 -4.52263 7.89848 8.17195
91.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.46422 -1.70146 34.80070 4.29335 -9.24472 4.48683 1.98913 -27.14780 12.99720 1.44607 -7.05551 0.79675 2.18809 5.90087 0.93181 -4.11350 8.06484 8.36013
92.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.31515 -1.94981 34.61630 4.29461 -9.34280 3.99564 1.24689 -27.18770 9.42499 1.46319 -6.93321 0.92425 2.11439 6.01638 0.16458 -3.67814 8.23685 8.52249
93.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.19248 -2.10763 34.41570 4.28003 -9.44381 3.55088 0.60386 -27.11540 6.15709 1.48238 -6.76060 1.13501 2.09466 6.10174 -0.48456 -3.22435 8.39360 8.65382
